area,area_title,area_type,naics,naics_title,i_group,own_code,occ_code,occ_title,o_group,tot_emp,emp_prse,jobs_1000,loc_quotient,pct_total,h_mean,a_mean,mean_prse,h_pct10,h_pct25,h_median,h_pct75,h_pct90,a_pct10,a_pct25,a_median,a_pct75,a_pct90,annual,hourly
99,U.S.,1,000000,Cross-industry,cross-industry,1235,51-5113,Print Binding and Finishing Workers,detailed,"45,600",3.2,,,,16.89,"35,130",0.8,10.80,12.81,15.89,20.18,24.58,"22,460","26,640","33,040","41,970","51,130",,
99,U.S.,1,000000,Cross-industry,cross-industry,1235,51-6000,"Textile, Apparel, and Furnishings Workers",minor,"569,260",0.9,,,,13.78,"28,660",0.3,9.28,10.87,12.68,15.60,19.33,"19,290","22,600","26,370","32,440","40,200",,
99,U.S.,1,000000,Cross-industry,cross-industry,1235,51-6010,Laundry and Dry-Cleaning Workers,broad,"209,330",1.3,,,,12.22,"25,420",0.4,8.89,10.06,11.64,13.72,16.33,"18,500","20,920","24,220","28,540","33,970",,
99,U.S.,1,000000,Cross-industry,cross-industry,1235,51-6011,Laundry and Dry-Cleaning Workers,detailed,"209,330",1.3,,,,12.22,"25,420",0.4,8.89,10.06,11.64,13.72,16.33,"18,500","20,920","24,220","28,540","33,970",,
99,U.S.,1,000000,Cross-industry,cross-industry,1235,51-6020,"Pressers, Textile, Garment, and Related Materials",broad,"38,070",3.3,,,,11.93,"24,820",0.7,8.85,10.12,11.63,13.45,15.12,"18,410","21,050","24,190","27,980","31,440",,
99,U.S.,1,000000,Cross-industry,cross-industry,1235,51-6021,"Pressers, Textile, Garment, and Related Materials",detailed,"38,070",3.3,,,,11.93,"24,820",0.7,8.85,10.12,11.63,13.45,15.12,"18,410","21,050","24,190","27,980","31,440",,
99,U.S.,1,000000,Cross-industry,cross-industry,1235,51-6030,Sewing Machine Operators,broad,"133,410",1.8,,,,13.46,"28,000",0.5,9.39,11.09,12.70,15.26,18.51,"19,530","23,060","26,420","31,750","38,500",,
99,U.S.,1,000000,Cross-industry,cross-industry,1235,51-6031,Sewing Machine Operators,detailed,"133,410",1.8,,,,13.46,"28,000",0.5,9.39,11.09,12.70,15.26,18.51,"19,530","23,060","26,420","31,750","38,500",,
99,U.S.,1,000000,Cross-industry,cross-industry,1235,51-6040,Shoe and Leather Workers,broad,"13,780",8.5,,,,14.70,"30,570",1.6,9.46,11.58,14.34,17.50,19.61,"19,670","24,090","29,830","36,400","40,790",,
99,U.S.,1,000000,Cross-industry,cross-industry,1235,51-6041,Shoe and Leather Workers and Repairers,detailed,"8,760",8.7,,,,14.70,"30,580",1.9,9.67,11.56,14.21,17.37,19.43,"20,110","24,050","29,560","36,120","40,420",,
99,U.S.,1,000000,Cross-industry,cross-industry,1235,51-6042,Shoe Machine Operators and Tenders,detailed,"5,020",17.3,,,,14.68,"30,540",2.5,9.10,11.66,14.70,17.70,20.14,"18,920","24,250","30,570","36,820","41,880",,
99,U.S.,1,000000,Cross-industry,cross-industry,1235,51-6050,"Tailors, Dressmakers, and Sewers",broad,"28,880",6.4,,,,16.32,"33,950",1.5,10.06,11.93,15.02,19.32,25.40,"20,920","24,810","31,230","40,180","52,830",,
99,U.S.,1,000000,Cross-industry,cross-industry,1235,51-6051,"Sewers, Hand",detailed,"4,770",10.3,,,,14.92,"31,020",2.0,10.16,11.72,14.40,17.74,20.48,"21,140","24,390","29,950","36,890","42,600",,
99,U.S.,1,000000,Cross-industry,cross-industry,1235,51-6052,"Tailors, Dressmakers, and Custom Sewers",detailed,"24,110",7.4,,,,16.60,"34,530",1.7,10.03,11.97,15.15,19.95,26.32,"20,870","24,900","31,520","41,490","54,740",,
99,U.S.,1,000000,Cross-industry,cross-industry,1235,51-6060,"Textile Machine Setters, Operators, and Tenders",broad,"74,220",2.2,,,,14.77,"30,720",0.6,10.47,12.14,14.25,17.04,19.57,"21,770","25,260","29,640","35,450","40,690",,
99,U.S.,1,000000,Cross-industry,cross-industry,1235,51-6061,Textile Bleaching and Dyeing Machine Operators and Tenders,detailed,"8,690",6.0,,,,14.81,"30,810",1.2,10.67,12.01,14.16,17.24,19.74,"22,200","24,980","29,460","35,860","41,060",,
99,U.S.,1,000000,Cross-industry,cross-industry,1235,51-6062,"Textile Cutting Machine Setters, Operators, and Tenders",detailed,"13,210",4.6,,,,14.26,"29,660",0.8,9.88,11.50,13.81,16.85,19.22,"20,560","23,910","28,730","35,040","39,990",,
99,U.S.,1,000000,Cross-industry,cross-industry,1235,51-6063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",detailed,"21,130",4.4,,,,15.05,"31,300",1.1,10.38,11.95,14.41,17.60,21.09,"21,590","24,860","29,980","36,610","43,860",,
99,U.S.,1,000000,Cross-industry,cross-industry,1235,51-6064,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",detailed,"31,190",3.2,,,,14.78,"30,740",0.9,10.80,12.58,14.32,16.68,19.00,"22,460","26,170","29,790","34,680","39,520",,
99,U.S.,1,000000,Cross-industry,cross-industry,1235,51-6090,"Miscellaneous Textile, Apparel, and Furnishings Workers",broad,"71,570",3.2,,,,17.67,"36,750",0.8,10.65,12.97,16.26,20.67,26.80,"22,150","26,970","33,830","43,000","55,740",,
99,U.S.,1,000000,Cross-industry,cross-industry,1235,51-6091,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",detailed,"18,230",5.4,,,,18.16,"37,760",1.3,12.51,14.42,17.36,21.53,26.09,"26,010","29,980","36,110","44,790","54,270",,
99,U.S.,1,000000,Cross-industry,cross-industry,1235,51-6092,Fabric and Apparel Patternmakers,detailed,"5,870",11.2,,,,25.35,"52,740",3.3,11.29,14.73,21.67,33.59,45.66,"23,480","30,650","45,070","69,860","94,980",,
99,U.S.,1,000000,Cross-industry,cross-industry,1235,51-6093,Upholsterers,detailed,"29,420",3.8,,,,17.62,"36,640",0.8,10.87,13.47,16.89,20.73,25.70,"22,610","28,020","35,130","43,110","53,450",,
99,U.S.,1,000000,Cross-industry,cross-industry,1235,51-6099,"Textile, Apparel, and Furnishings Workers, All Other",detailed,"18,060",8.0,,,,14.76,"30,710",1.9,9.70,11.23,13.45,16.83,22.36,"20,180","23,360","27,970","35,010","46,500",,
