AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",detailed,"344,020",1.3,,,,25.68,"53,410",0.5,15.34,18.90,24.32,30.94,38.86,"31,910","39,320","50,590","64,350","80,820",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,49-9030,Home Appliance Repairers,broad,"27,640",4.3,,,,21.06,"43,810",1.1,12.02,15.47,20.00,25.44,31.56,"25,000","32,170","41,610","52,920","65,640",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,49-9031,Home Appliance Repairers,detailed,"27,640",4.3,,,,21.06,"43,810",1.1,12.02,15.47,20.00,25.44,31.56,"25,000","32,170","41,610","52,920","65,640",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,49-9040,"Industrial Machinery Installation, Repair, and Maintenance Workers",broad,"496,380",0.8,,,,27.30,"56,790",0.2,16.92,21.01,26.40,32.14,39.40,"35,200","43,690","54,920","66,850","81,950",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,49-9041,Industrial Machinery Mechanics,detailed,"385,980",0.9,,,,27.57,"57,350",0.2,17.17,21.28,26.68,32.39,39.64,"35,720","44,270","55,490","67,370","82,450",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,49-9043,"Maintenance Workers, Machinery",detailed,"65,240",1.6,,,,24.98,"51,960",0.5,15.47,19.02,24.08,29.96,36.44,"32,170","39,560","50,100","62,310","75,800",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,49-9044,Millwrights,detailed,"44,400",3.2,,,,28.40,"59,080",0.8,17.52,21.63,27.53,34.05,40.24,"36,450","44,990","57,260","70,820","83,690",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,49-9045,"Refractory Materials Repairers, Except Brickmasons",detailed,760,16.6,,,,26.48,"55,080",2.6,17.40,21.42,26.26,30.79,36.80,"36,190","44,560","54,610","64,040","76,550",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,49-9050,Line Installers and Repairers,broad,"237,420",1.7,,,,32.66,"67,940",0.6,17.10,22.08,32.71,42.37,49.73,"35,570","45,930","68,030","88,130","103,440",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,49-9051,Electrical Power-Line Installers and Repairers,detailed,"114,930",1.7,,,,35.78,"74,410",0.6,18.80,26.08,36.07,45.47,52.11,"39,090","54,250","75,030","94,580","108,380",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,49-9052,Telecommunications Line Installers and Repairers,detailed,"122,480",2.9,,,,29.74,"61,860",1.1,16.43,19.74,28.30,39.44,47.04,"34,180","41,060","58,870","82,030","97,840",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,49-9060,Precision Instrument and Equipment Repairers,broad,"71,430",2.3,,,,25.88,"53,830",0.6,14.31,18.07,24.40,31.90,39.91,"29,760","37,590","50,740","66,350","83,010",,
