AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,39-9011,Childcare Workers,detailed,"438,520",1.6,,,,,13.31,"27,680",0.5,8.91,10.88,13.22,14.47,17.99,"18,540","22,640","27,490","30,100","37,430",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,39-9030,Recreation and Fitness Workers,broad,"485,620",1.0,,,,,18.43,"38,340",0.7,10.72,13.17,14.87,22.55,29.33,"22,290","27,390","30,930","46,910","61,000",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,39-9031,Exercise Trainers and Group Fitness Instructors,detailed,"221,600",1.6,,,,,22.05,"45,870",1.0,11.04,14.22,19.57,27.77,36.51,"22,960","29,580","40,700","57,760","75,940",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,39-9032,Recreation Workers,detailed,"264,020",1.0,,,,,15.39,"32,020",0.4,10.45,11.70,14.27,17.59,22.43,"21,730","24,330","29,680","36,580","46,660",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,39-9040,Residential Advisors,broad,"92,500",1.9,,,,,16.81,"34,950",0.6,11.18,13.86,15.01,18.63,23.33,"23,260","28,820","31,220","38,750","48,530",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,39-9041,Residential Advisors,detailed,"92,500",1.9,,,,,16.81,"34,950",0.6,11.18,13.86,15.01,18.63,23.33,"23,260","28,820","31,220","38,750","48,530",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,39-9090,Miscellaneous Personal Care and Service Workers,broad,"72,030",9.4,,,,,14.80,"30,790",1.0,10.73,13.47,14.24,16.51,18.17,"22,320","28,010","29,610","34,330","37,790",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,39-9099,"Personal Care and Service Workers, All Other",detailed,"72,030",9.4,,,,,14.80,"30,790",1.0,10.73,13.47,14.24,16.51,18.17,"22,320","28,010","29,610","34,330","37,790",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,41-0000,Sales and Related Occupations,major,"13,256,290",0.3,,,,,22.15,"46,080",0.2,10.74,12.92,14.71,23.55,39.28,"22,330","26,870","30,600","48,980","81,710",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,41-1000,Supervisors of Sales Workers,minor,"1,387,190",0.3,,,,,26.38,"54,880",0.3,14.05,17.48,22.52,29.55,46.05,"29,220","36,360","46,850","61,450","95,790",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,41-1010,First-Line Supervisors of Sales Workers,broad,"1,387,190",0.3,,,,,26.38,"54,880",0.3,14.05,17.48,22.52,29.55,46.05,"29,220","36,360","46,850","61,450","95,790",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,41-1011,First-Line Supervisors of Retail Sales Workers,detailed,"1,143,260",0.4,,,,,22.54,"46,890",0.3,13.94,16.12,18.86,25.03,35.17,"29,000","33,520","39,230","52,070","73,160",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,41-1012,First-Line Supervisors of Non-Retail Sales Workers,detailed,"243,920",0.9,,,,,44.38,"92,320",0.7,22.84,29.56,38.31,51.86,76.98,"47,510","61,490","79,680","107,860","160,120",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,41-2000,Retail Sales Workers,minor,"7,665,410",0.3,,,,,14.45,"30,060",0.2,10.07,11.09,13.79,14.73,18.30,"20,940","23,070","28,680","30,640","38,060",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,41-2010,Cashiers,broad,"3,335,170",0.5,,,,,12.88,"26,780",0.2,8.93,10.90,13.12,14.20,16.96,"18,580","22,670","27,280","29,540","35,270",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,41-2011,Cashiers,detailed,"3,318,020",0.5,,,,,12.87,"26,770",0.2,8.93,10.90,13.11,14.20,16.94,"18,580","22,670","27,260","29,540","35,230",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,41-2012,Gambling Change Persons and Booth Cashiers,detailed,"17,150",3.3,,,,,14.00,"29,130",1.1,9.15,10.99,13.75,14.94,18.06,"19,020","22,860","28,600","31,080","37,560",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,41-2020,Counter and Rental Clerks and Parts Salespersons,broad,"636,750",1.1,,,,,17.54,"36,480",0.4,11.01,13.74,15.28,20.37,26.58,"22,900","28,580","31,780","42,370","55,280",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,41-2021,Counter and Rental Clerks,detailed,"371,620",1.5,,,,,17.39,"36,170",0.5,11.00,13.78,15.06,18.77,24.44,"22,880","28,660","31,330","39,040","50,830",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,41-2022,Parts Salespersons,detailed,"265,130",1.0,,,,,17.75,"36,920",0.5,11.03,13.71,16.47,21.80,27.97,"22,940","28,530","34,260","45,340","58,180",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,41-2030,Retail Salespersons,broad,"3,693,490",0.3,,,,,15.35,"31,920",0.2,10.50,11.30,14.00,16.88,21.85,"21,840","23,500","29,120","35,110","45,460",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,41-2031,Retail Salespersons,detailed,"3,693,490",0.3,,,,,15.35,"31,920",0.2,10.50,11.30,14.00,16.88,21.85,"21,840","23,500","29,120","35,110","45,460",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,41-3000,"Sales Representatives, Services",minor,"2,009,700",0.6,,,,,35.95,"74,770",0.4,14.65,19.01,29.11,43.32,63.30,"30,460","39,540","60,550","90,100","131,660",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,41-3010,Advertising Sales Agents,broad,"96,660",2.8,,,,,31.99,"66,540",1.0,13.80,18.13,25.16,38.13,60.27,"28,700","37,700","52,340","79,310","125,370",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,41-3011,Advertising Sales Agents,detailed,"96,660",2.8,,,,,31.99,"66,540",1.0,13.80,18.13,25.16,38.13,60.27,"28,700","37,700","52,340","79,310","125,370",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,41-3020,Insurance Sales Agents,broad,"422,600",1.1,,,,,33.34,"69,340",1.2,14.41,18.37,23.96,37.90,60.82,"29,970","38,210","49,840","78,840","126,510",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,41-3021,Insurance Sales Agents,detailed,"422,600",1.1,,,,,33.34,"69,340",1.2,14.41,18.37,23.96,37.90,60.82,"29,970","38,210","49,840","78,840","126,510",,
